start_neighborhood,trip_duration
SoHo-Little Italy-Hudson Square,879.0
Midtown South-Flatiron-Union Square,729.0
Chelsea-Hudson Yards,547.0
Midtown-Times Square,707.0
Chelsea-Hudson Yards,478.0
Tribeca-Civic Center,418.0
Stuyvesant Town-Peter Cooper Village,478.0
Chelsea-Hudson Yards,205.0
East Village,314.0
East Village,716.0
Midtown South-Flatiron-Union Square,516.0
Midtown South-Flatiron-Union Square,307.0
Chelsea-Hudson Yards,610.0
Lower East Side,1304.0
Midtown South-Flatiron-Union Square,517.0
Financial District-Battery Park City,496.0
Financial District-Battery Park City,1055.0
Financial District-Battery Park City,880.0
Murray Hill-Kips Bay,973.0
Greenwich Village,194.0
Gramercy,297.0
West Village,271.0
SoHo-Little Italy-Hudson Square,842.0
Greenwich Village,358.0
Tribeca-Civic Center,146.0
West Village,729.0
Gramercy,132.0
East Midtown-Turtle Bay,473.0
East Village,236.0
Greenwich Village,206.0
West Village,269.0
Hell's Kitchen,1767.0
Midtown-Times Square,1764.0
West Village,522.0
Chelsea-Hudson Yards,328.0
Chinatown-Two Bridges,738.0
Hell's Kitchen,385.0
Murray Hill-Kips Bay,336.0
Tribeca-Civic Center,344.0
East Village,1197.0
Chelsea-Hudson Yards,528.0
Financial District-Battery Park City,282.0
Midtown-Times Square,618.0
Midtown South-Flatiron-Union Square,219.0
Greenwich Village,938.0
Tribeca-Civic Center,1204.0
Chelsea-Hudson Yards,1581.0
Tribeca-Civic Center,313.0
Murray Hill-Kips Bay,435.0
Gramercy,368.0
Greenwich Village,509.0
Chelsea-Hudson Yards,841.0
Chelsea-Hudson Yards,507.0
Brooklyn Navy Yard,1803.0
Gramercy,1480.0
Midtown-Times Square,1157.0
Midtown South-Flatiron-Union Square,285.0
Financial District-Battery Park City,820.0
Chelsea-Hudson Yards,388.0
Murray Hill-Kips Bay,806.0
Chelsea-Hudson Yards,701.0
East Village,264.0
Financial District-Battery Park City,1720.0
Gramercy,470.0
East Village,704.0
Chelsea-Hudson Yards,429.0
Greenwich Village,772.0
Chelsea-Hudson Yards,964.0
Midtown-Times Square,538.0
Greenwich Village,724.0
Financial District-Battery Park City,281.0
East Village,1021.0
Chinatown-Two Bridges,303.0
SoHo-Little Italy-Hudson Square,518.0
Lower East Side,145.0
Chelsea-Hudson Yards,845.0
Midtown-Times Square,513.0
Midtown South-Flatiron-Union Square,1355.0
Lower East Side,742.0
Gramercy,572.0
Lower East Side,286.0
East Midtown-Turtle Bay,747.0
Tribeca-Civic Center,812.0
West Village,1587.0
Lower East Side,392.0
Chinatown-Two Bridges,715.0
Midtown-Times Square,909.0
Midtown South-Flatiron-Union Square,685.0
Chelsea-Hudson Yards,1081.0
Greenwich Village,424.0
Fort Greene,1303.0
Midtown-Times Square,346.0
Chelsea-Hudson Yards,760.0
East Village,1796.0
Financial District-Battery Park City,583.0
Midtown South-Flatiron-Union Square,1231.0
Gramercy,1417.0
Midtown-Times Square,1140.0
Fort Greene,282.0
Lower East Side,344.0
Midtown South-Flatiron-Union Square,746.0
Murray Hill-Kips Bay,422.0
Midtown South-Flatiron-Union Square,403.0
